No,Day_Month_Year,Auction_No,Auction_Name,Location,Sale_Total,Source,Lots,,,,,,,,,,,,,,,,,,
25,27 May 2022,LIVE AUCTION 19899,20th Century Art Day Sale,Hong Kong,"HKD 169,475,100",https://www.christies.com/en/auction/20th-century-art-day-sale-29076/?loadall=true&page=2&sortby=lotnumber,89,,,,,,,,,,,,,,,,,,
26,27 May 2022,LIVE AUCTION 19900,21st Century Art Day Sale,Hong Kong,"HKD 232,268,280",https://www.christies.com/en/auction/21st-century-art-day-sale-29077/?loadall=true&page=2&sortby=lotnumber,113,,,,,,,,,,,,,,,,,,
27,26 May 2022,LIVE AUCTION 19898,20th/21st Century Art Evening Sale,Hong Kong,"HKD 1,407,783,000",https://www.christies.com/en/auction/20th-21st-century-art-evening-sale-29075/,58,,,,,,,,,,,,,,,,,,
28,7 - 22 April 2022,ONLINE AUCTION 19896,No Regrets: 20/21 Art Online: All Originals,Hong Kong,"HKD 10,513,440",https://onlineonly.christies.com/s/no-regrets-20-21-art-online-all-originals/lots/3216?loadall=true&page=2&sortby=LotNumber,93,,,,,,,,,,,,,,,,,,
29,7 - 21 April 2022,ONLINE AUCTION 21552,No Regrets: 20/21 Art Online: All Editions,Hong Kong,"HKD 5,449,122",https://onlineonly.christies.com/s/no-regrets-20-21-art-online-all-editions/lots/3241,74,,,,,,,,,,,,,,,,,,
30,14 February - 2 March 2022,ONLINE AUCTION 21023,Dawn of Spring: Chinese Paintings Online,Hong Kong,"HKD 9,448,614",https://onlineonly.christies.com/s/dawn-spring-chinese-paintings-online/lots/2144?loadall=true&page=2&sortby=LotNumber,155,,,,,,,,,,,,,,,,,,
31,11 - 21 January 2022,ONLINE AUCTION 20892,20th/21st Century Art Online,Hong Kong,"HKD 30,318,750",https://onlineonly.christies.com/s/20th-21st-century-art-online-sale/lots/2092 ,37,,,,,,,,,,,,,,,,,,
32,2 December 2021,LIVE AUCTION 16901,20th Century Art Day Sale,Hong Kong,"HKD 198,556,250",https://www.christies.com/en/auction/20th-century-art-day-sale-27996/?loadall=true&page=2&sortby=lotnumber ,95,,,,,,,,,,,,,,,,,,
33,2 December 2021,LIVE AUCTION 16902,21st Century Art Day Sale,Hong Kong,"HKD 314,056,250",https://www.christies.com/en/auction/21st-century-art-day-sale-28000/?loadall=true&page=2&sortby=lotnumber ,101,,,,,,,,,,,,,,,,,,
34,1 December 2021,LIVE AUCTION 16900,20th/21st Century Art Evening Sale,Hong Kong,"HKD 896,185,000",https://www.christies.com/en/auction/20th-21st-century-art-evening-sale-27998/ ,54,,,,,,,,,,,,,,,,,,
